population,neighborhood,township,neighborhood_id,latitude,longitude
13152,Atikali,Fatih,99140,41.024788471352444,28.94475374318689
15200,Ayvansaray,Fatih,99146,41.03504717914072,28.94267409750831
10996,Balat,Fatih,99145,41.02898137658343,28.94838188557977
7490,Cerrahpaşa,Fatih,99128,41.00453461603266,28.938835740394943
6979,Cibali,Fatih,99143,41.02284529875288,28.957555445877137
16725,Derviş Ali,Fatih,40422,41.028382693601735,28.94035126704196
8692,Haseki Sultan,Fatih,99129,41.01031627714363,28.94074729728135
20257,Hırka-İ Şerif,Fatih,İ Şerif),41.021896086531676,28.939460600358476
11316,İskenderpaşa,Fatih,40397,41.01337241373797,28.949887284734842
2143,Kalenderhane,Fatih,40319,41.01409667565661,28.957989352704626
10253,Karagümrük,Fatih,99139,41.026448464931235,28.933461478751518
18471,Koca Mustafapaşa,Fatih,40390,41.000369051383394,28.93216431172081
17590,Mevlanakapı,Fatih,99134,41.01296062920944,28.9243031585898
11611,Molla Gürani,Fatih,99136,41.013809221931815,28.940830317384123
4056,Nişanca,Fatih,40329,41.0049461990067,28.95915220908936
19499,Şehremini,Fatih,99133,41.01393803519825,28.932686057453086
23649,Seyyid Ömer,Fatih,40387,41.009056666621234,28.9330909669221
14926,Silivrikapı,Fatih,99132,41.005271971355235,28.925624562060662
15337,Sümbül Efendi,Fatih,99131,41.0017264519743,28.92582512543535
10288,Topkapı,Fatih,99135,41.01977640114268,28.93190132991703
15913,Yavuz Sultan Selim,Fatih,99144,41.02652988540816,28.95451513927432
15417,Yedikule,Fatih,99130,40.994333892650005,28.924973200635428
12465,Zeyrek,Fatih,99142,41.0185035909433,28.95528841485646
28425,Bağlarbaşı,Gaziosmanpaşa,40454,41.06521938878565,28.913517452050097
47627,Barbaros Hayrettin Paşa,Gaziosmanpaşa,40459,41.07495585336543,28.889709213698122
23068,Fevzi Çakmak,Gaziosmanpaşa,40457,41.072469831820754,28.908448227353592
27363,Hürriyet,Gaziosmanpaşa,40458,41.0675023191731,28.89974869241299
71175,Karadeniz,Gaziosmanpaşa,40464,41.081916104662575,28.884692838158497
38738,Karayolları,Gaziosmanpaşa,40463,41.08580277118762,28.89967536743712
19021,Karlıtepe,Gaziosmanpaşa,40451,41.057180573359524,28.92800146535724
42953,Kazım Karabekir,Gaziosmanpaşa,40461,41.07862638570607,28.912807042090222
30063,Merkez,Gaziosmanpaşa,40455,41.05992012310149,28.9095420100008
23306,Mevlana,Gaziosmanpaşa,40462,41.0878935824299,28.91302257108975
11550,Pazariçi,Gaziosmanpaşa,40450,41.05935924816344,28.934213267042928
24933,Sarıgöl,Gaziosmanpaşa,40453,41.06066071909284,28.918762769400285
24656,Şemsipaşa,Gaziosmanpaşa,40456,41.064974187132655,28.904892671648025
7570,Yenidoğan,Gaziosmanpaşa,40452,41.037819607928085,28.913753342498552
35600,Yeni Mahalle,Gaziosmanpaşa,40460,41.075774460373204,28.901033026007664
23883,Yıldıztabya,Gaziosmanpaşa,40449,41.06367998571072,28.92887933558501
20864,Abdurrahman Nafiz Gürman,Güngören,40504,41.00610252861013,28.888632428468018
18844,Akıncılar,Güngören,40497,41.0160719969982,28.8693070366396
